un,uid,iu,mid,mc,value,srn,run,ruid,rmc,pu,rrc,rcc,rpage,rpt,rc,cc,page,pt
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,我老公今天起床看到我綁馬尾，嚇到倒退說:baby你綁這樣很漂亮!發自內心的嚇到!,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DebSO4Ugr?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-21 20:38
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,最近皮膚都好到炸!不知道怎麼搞的?,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/De8LkA5MC?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-21 12:41
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,我本人有這麼美嗎？那我老公不是爽斃了!,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DcWOOiR12?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-13 16:26
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,昨天第一次參加 2016超級巨星  紅白藝能大賞!真的很過癮，謝謝專程來現場看我的每一位朋友，因為你們的尖叫聲，我才能擺出巨星的樣子!也謝謝樂團老師們，配合我活在自己中的表演，謝謝你們的專業! 以後，我一定要更專業，更自在，唱得更好!不然我就徹底的很少唱!!!,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Dctnbr8cX?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-10 13:29
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,"怎麼辦?站在舞台上真的好爽!許老三問我:媽媽,你是不是有很多粉絲?我說:有啊!因為他們有看媽媽主持的節目!她說:我也有很多粉絲，他們都叫我許老三，還跟我拍照!大姐二姐有嗎?這...這是在演甄嬛傳嗎? 不壓壓許老三氣勢不行!!",p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Dco6PC4j2?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-10 00:05
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,真的受不了V領的衣服不夠低，這樣會導致露不出裡面的背心，沒層次，領子不夠寬又露不出鎖骨!只好自己扯開，幾乎每件衣服都被我扯了!就不能做件夠寬夠V的嗎?,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Dcc4TzGm8?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-08 17:27
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,"今天我媽在獅子會表演國標舞中的rumba,跳的好棒，真以她為榮!所以人真的是要活到老學到老~",p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Dc3QdlWn8?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-07 20:29
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,我補眠成功了! yahoo,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DbHfxa5DN?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-05 10:58
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,我怎麼會那麼容易醉?我不喜歡這種感覺!尤其看著別人清醒的時候照顧我!我真覺得自己很窩囊~,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Dbt5u6fkE?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-03 22:55
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,2016～，每個人都要平平安安，健健康康,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DbkRU4FaE?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-03 01:59
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,1月號儂儂，謝謝攝影師江民仕把我拍的那麼美又時尚!請幫我把雜記寄給胡瓜,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Db5JswJKA?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-01 11:27
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,1月份美麗佳人，謝謝攝影師柏誠拍的那麼美～請把蔡康永P掉，然後寄給胡歌!,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DaQUl9kHh?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-30 21:43
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,謝謝時尚健康還有攝影師柳宗源把我拍的這麼美~,p,三星android智能手机,NULL,NULL,@小S 于2015年末结束《康熙来了》的旅程，又于2016年初开启全新旅途。再见与开始，经验与未知，有意思的是不到明天，我们永远不知道明天长什么样子。2016开年刊，时尚健康诚意奔赴台北，解答一切有关小S的疑问。所有你们对S的疑问，答案都在这里时尚健康 2016年第1期  封面 小S @柳宗源 @野象花园 @ASOS國際媛娣,NULL,0,0,http://www.weibo.com/1193525177/DaDrc4ga5,2015-12-29 11:25,0,0,http://www.weibo.com/1704116960/DaGjTycMk?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-29 18:46
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,聖誕快樂~,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D9U5YqQcE?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-24 15:59
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,不發不行，母女都太可愛了!,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D7tRtFobY?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-08 17:32
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,今天有好多小朋友在我們家玩，我煮一個最不容易失敗的雞腿肉咖哩!小朋友一定很愛!重點是我煮的時候配的飲料～,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D7aMa3Uz2?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-06 16:56
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,這支口紅也很厲害，只要一支，就可營造出復古暈染感~,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D6gEU5PEz?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-11-30 18:05
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,新的江南匯小川，氣氛很棒，食物好吃~瑯琊榜好好看啊！費了很大的勁，才把屁股從沙發拔起~,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D5XI4rBMb?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-11-28 17:50
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,今天三個女兒跟我睡，但老大老二睡著了，許老三睡的時候一直堅持要牽我手，好幸福喔！,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D5Qa2ub5n?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-11-27 22:37
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,我迷上瑯琊榜了啦!,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D5Gz78qGm?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-11-26 22:12
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,這次婆婆帶許老三去香港迪士尼玩，寶貝高興死了，看到她最愛的Elsa，還玩了好多遊樂器材，又看了煙火，我婆婆說她覺得寶貝這幾天，好像是她人生中目前最快樂的幾天～我想我婆婆一定也很開心，每天看到孫女的笑容!香港迪士尼真是個充滿歡樂的地方～還要感謝我小姑也去了，不然我婆婆可能會累爆!,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D5nUG3Szx?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-11-24 22:43
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,謝謝郁方的格林屋，幫我女兒辦了一個很棒的8歲生日派對! 沒料到老闆娘的妹妹煮的滷味那麼好吃!大家猛搶甜不辣～,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D59K3bJZQ?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-11-23 10:38
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,今天煮的牛肉麵，老公最捧場，一直說好吃好吃!兩個女兒吃沒幾口就眼眶泛淚說好辣!此刻，突然對老公愛意破表～女兒，我要先跟她們冷戰!,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D3Z7Yk0MY?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-11-15 17:46
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,松菸誠品也好好玩~,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D2WLtf2aF?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-11-08 21:55
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,我愛這個口紅!,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D2NsAkfiP?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-11-07 22:14
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,萬聖節快樂!誰看到這個照片還開心的起來~,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D1JIdCcDF?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-10-31 22:51
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,我最愛的奶奶，生日快樂~,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D1pS6xvUX?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-10-29 20:20
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,早安~還想再睡但已清醒，乾脆起床。自拍一張發現早晨的自己還蠻漂亮的，頭髮也很順，其實2天沒洗~,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D11XAwMMg?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-10-27 07:28
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,花博好好玩喔！,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D0VvKb3gr?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-10-26 15:03
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,感謝CH WEDDING 幫我做了一件這麼美的禮服，讓我榮登婚禮當晚第二美女明星!第一美當然是新娘~名次是由知名人士徐熙娣小姐決定~,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/CEkrB1dwT?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-10-09 19:29
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,性感的小阿姨~祝你親愛的母親平安健康~,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/CDXliz0bf?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-10-07 08:40
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,謝謝上海的朋友!i love u guys😙,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/CDzCSriJ9?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-10-04 20:18
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,江南匯的美食，家人的團圓，開心破表~,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/CCvbTvBZ2?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-09-27 19:10
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,一切歸於平靜，回到家人的懷抱～中秋快樂!,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/CCvbrblaB?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-09-27 19:09
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,當你一個人獨處的時候真的可以放鬆嗎?還是你會覺得得po幾篇文章，得看點書，得背幾個英文單字，得練個琴或什麼的，反正我是一個好像非得做什麼的人～但當然表情跟心情都可以裝死～,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/CC8BBlIdR?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-09-25 09:40
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,謝謝北京的朋友~,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/CBgOmAMEt?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-09-19 16:43
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,謝謝我們的忠實粉絲楊振銘邀請到jjseason這位大師，幫我們畫了一幅這麼棒的作品，I love it~,p,微博 weibo.com,NULL,NULL,#时尚# #插画#--复古姐妹花！@大S @小S 登杂志《MILK X》封面，这对无论幕前、幕后都毫不造作的默契姐妹，演绎不同的复古时尚。,NULL,0,0,http://www.weibo.com/1871956515/CAnAtEsTA,2015-09-13 20:08,0,0,http://www.weibo.com/1704116960/CAwofD4mW?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-09-14 18:32
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,北京的天氣真好，京東的員工真熱情!,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/CA2bx4k8r?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-09-11 13:39
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,有好的團隊，才有美的作品～當然作品本身質感很好!,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/CyYImiiCL?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-09-04 14:58
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,姐姐在當小老師~溫馨到媽媽都要哭了!,p,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/CtCX5iAeh?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-07-31 10:23
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,煩死了，咳到睡不著!,n,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DiFD5cajw?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-20 07:43
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,"今天一早起床就覺得右耳很痛，趕緊去看醫生 ,果真是中耳炎，第一次得，跟我想像的差不多~",n,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DirwsAxi2?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-18 19:48
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,吸拉對不起，我忘了戴蕾絲手套了,n,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DgqcoE3fr?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-05 12:45
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,便秘~,n,三星android智能手机,NULL,NULL,你們可以猜出我在困擾什麼嗎？跟工作無關,NULL,0,0,http://www.weibo.com/1704116960/DeCpSdwRt,2016-01-24 16:11,0,0,http://www.weibo.com/1704116960/DeCOruShI?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-24 17:11
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,什麼?義渠王死了?我只能接受他老死，不能接受他帥的時候死! 而且我根本還沒看到那耶!以後不看連續劇了啦！不能大家都好好活著嗎？,n,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DcqJKt174?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-10 06:46
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,其實康熙沒訪問到羋月傳的義渠王，也蠻遺憾的!康永哥，你知道該怎麼做了吧!,n,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DcaeaeoUz?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-08 12:44
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,真的快被我的強迫症逼瘋了，一直覺得兩邊眉毛不一樣!,n,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Dbhx8pTSA?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-02 17:30
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,一直有人問我:憑什麼許老三粉絲團有6萬人?我真的不知道~,n,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D79fH490Y?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-06 13:04
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,我不懂當世界已經進步到可以探索外太空時，怎麼還是有些人類的心智停留在恐龍年代?同性戀或異性戀到底有什麼好值得去爭議的，我們都是人類，面對根本不知有多大的宇宙，我們是如此的渺小，又有誰可以決定怎樣的愛是對，怎樣的組合是錯，太自大了!當你還在批判和反對時!,n,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D1lNJFA5M?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-10-29 09:59
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,我太墮落了，我竟然準備吃一碗咖哩飯!而我明天還得跟一群女明星聚在一起!誰!快來羞辱我!真正的羞辱!,n,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/CE2hOgn7I?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-10-07 21:15
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,摔車之後第一次再度騎腳踏車，已是半年後了吧!心裡蠻緊張的，因為載著女兒，短短3分鐘的路程，覺得自己好像跨越了一道很大的障礙!雖然幾度還是被突然出現的車子嚇個半死，但至少我又敢騎了!你沒看錯，它是一部非常普通的腳踏車，但騎它的人，今天可是在心裡演了一部勵志片!,n,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/CC8v8CMSc?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-09-25 09:24
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,人生總是有令你抓狂的小事!,n,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/CzuHT4pSb?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-09-08 00:25
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,一瞬之光讓我陷入空虛!by the way頭上那個是我的新寵～,n,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Cx6Zm1Aia?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-08-23 08:22
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,輪到我當保姆了!被指定要吃ice monster!but冰對 媽媽來說太寒了，只好喝酒～,n,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/CufmZF48X?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-08-04 12:11
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,飛機再不飛我就要失憶了啦!,n,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/CtGGLsY2Y?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-07-31 19:53
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,飛機delay的結果~,n,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/CtGvYtIyr?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-07-31 19:27
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,我受不了了!,n,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/CtbKffpV8?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-07-28 13:07
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,拍攝者（陳建州）你居心叵測!,n,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/CmZ66m9p2?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-06-17 17:53
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,你們可以猜出我在困擾什麼嗎？跟工作無關,n,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DeCpSdwRt?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-24 16:11
