un,uid,iu,mid,mc,srn,run,ruid,rmc,pu,rrc,rcc,rpage,rpt,rc,cc,page,pt
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,謝謝大家在寒風中為我尖叫!我何德何能啊？也不過就是個巨星而已!,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Dd7u7iV5x?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-14 19:36
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,偷聽我練歌！ O秒拍视频 .,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DcY9k9Aie?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-13 19:50
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,我本人有這麼美嗎？那我老公不是爽斃了!,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DcWOOiR12?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-13 16:26
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,Good morning!,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DcAUyl938?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-11 08:40
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,昨天第一次參加 2016超級巨星  紅白藝能大賞!真的很過癮，謝謝專程來現場看我的每一位朋友，因為你們的尖叫聲，我才能擺出巨星的樣子!也謝謝樂團老師們，配合我活在自己中的表演，謝謝你們的專業! 以後，我一定要更專業，更自在，唱得更好!不然我就徹底的很少唱!!!,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Dctnbr8cX?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-10 13:29
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,什麼?義渠王死了?我只能接受他老死，不能接受他帥的時候死! 而且我根本還沒看到那耶!以後不看連續劇了啦！不能大家都好好活著嗎？,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DcqJKt174?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-10 06:46
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,"怎麼辦?站在舞台上真的好爽!許老三問我:媽媽,你是不是有很多粉絲?我說:有啊!因為他們有看媽媽主持的節目!她說:我也有很多粉絲，他們都叫我許老三，還跟我拍照!大姐二姐有嗎?這...這是在演甄嬛傳嗎? 不壓壓許老三氣勢不行!!",三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Dco6PC4j2?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-10 00:05
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,那就來台北再扮吧！假髮跟鬍子一定要隨身攜帶喔!//@高云翔:不可以，因为义渠王全身上下的宝贝太多，过不了机场的安检 //@小S:那可以扮成劇中人嗎？//@高云翔:如果有《康熙回来了》，我义渠王义不容辞。,三星android智能手机,NULL,NULL,其實康熙沒訪問到羋月傳的義渠王，也蠻遺憾的!康永哥，你知道該怎麼做了吧!,NULL,0,0,http://www.weibo.com/1704116960/DcaeaeoUz,2016-01-08 12:44,0,0,http://www.weibo.com/1704116960/DccFpl6Kv?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-08 18:57
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,真的受不了V領的衣服不夠低，這樣會導致露不出裡面的背心，沒層次，領子不夠寬又露不出鎖骨!只好自己扯開，幾乎每件衣服都被我扯了!就不能做件夠寬夠V的嗎?,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Dcc4TzGm8?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-08 17:27
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,那可以扮成劇中人嗎？//@高云翔:如果有《康熙回来了》，我义渠王义不容辞。,三星android智能手机,NULL,NULL,其實康熙沒訪問到羋月傳的義渠王，也蠻遺憾的!康永哥，你知道該怎麼做了吧!,NULL,0,0,http://www.weibo.com/1704116960/DcaeaeoUz,2016-01-08 12:44,0,0,http://www.weibo.com/1704116960/DcbXUnq5Q?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-08 17:10
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,兩邊到底一不一樣?,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DcajndMeN?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-08 12:57
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,其實康熙沒訪問到羋月傳的義渠王，也蠻遺憾的!康永哥，你知道該怎麼做了吧!,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DcaeaeoUz?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-08 12:44
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,"今天我媽在獅子會表演國標舞中的rumba,跳的好棒，真以她為榮!所以人真的是要活到老學到老~",三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Dc3QdlWn8?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-07 20:29
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,老外應該不太懂薑的妙處，但薑真的對人很好，很多病痛都是因為身體太寒了，不管男生還是女生，所以薑能讓身體熱，讓身體熱了，病痛就比較不會來!我這碗是薑湯麵線~,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DbZgvh2cj?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-07 08:50
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,我補眠成功了! yahoo,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DbHfxa5DN?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-05 10:58
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,硬要睡我和我老公中間~,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DbGwA4Xhg?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-05 09:07
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,我怎麼會那麼容易醉?我不喜歡這種感覺!尤其看著別人清醒的時候照顧我!我真覺得自己很窩囊~,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Dbt5u6fkE?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-03 22:55
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,到底要怎麼睡到8點?,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Dbnek9AVC?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-03 08:00
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,2016～，每個人都要平平安安，健健康康,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DbkRU4FaE?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-03 01:59
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,有人說我眉毛不一樣! 我37 歲了，還care這個幹嘛? 我要care的是我愛的人! 而他們根本不在乎眉毛，他們只在乎我愛不愛他們! 我愛，但前提是眉毛要一樣!,Android客户端,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DbjShmGLW?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-02 23:27
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,真的快被我的強迫症逼瘋了，一直覺得兩邊眉毛不一樣!,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Dbhx8pTSA?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-02 17:30
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,我除了徐老三，還有2個女兒耶！,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Dbe1B1D3S?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-02 08:34
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,奇怪，她左眼突然變雙眼皮!by the way 上衣是外出服喔！,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Db8fsya2s?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-01 17:52
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,1月號儂儂，謝謝攝影師江民仕把我拍的那麼美又時尚!請幫我把雜記寄給胡瓜,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Db5JswJKA?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-01 11:27
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,2016你有想要成為不一樣的人嗎?我有，我想成為中長髮的人!,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DaXDIzznb?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-31 14:51
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,1月份美麗佳人，謝謝攝影師柏誠拍的那麼美～請把蔡康永P掉，然後寄給胡歌!,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DaQUl9kHh?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-30 21:43
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,所以才要寄給胡歌啊！//@范范范瑋琪:姐妹妳超美超美～^_^ //@小S:By the way  麻煩幫我把雜誌寄給胡歌!//@小S:謝謝時尚健康還有攝影師柳宗源把我拍的這麼美~,三星android智能手机,NULL,NULL,@小S 于2015年末结束《康熙来了》的旅程，又于2016年初开启全新旅途。再见与开始，经验与未知，有意思的是不到明天，我们永远不知道明天长什么样子。2016开年刊，时尚健康诚意奔赴台北，解答一切有关小S的疑问。所有你们对S的疑问，答案都在这里时尚健康 2016年第1期  封面 小S @柳宗源 @野象花园 @ASOS國際媛娣,NULL,0,0,http://www.weibo.com/1193525177/DaDrc4ga5,2015-12-29 11:25,0,0,http://www.weibo.com/1704116960/DaM7oeL7q?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-30 09:31
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,5點起來幹嘛啊?又懶得幫小孩做早餐! 算了，陪吃好了!,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DaKYJ16jf?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-30 06:37
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,By the way  麻煩幫我把雜誌寄給胡歌!//@小S:謝謝時尚健康還有攝影師柳宗源把我拍的這麼美~,三星android智能手机,NULL,NULL,@小S 于2015年末结束《康熙来了》的旅程，又于2016年初开启全新旅途。再见与开始，经验与未知，有意思的是不到明天，我们永远不知道明天长什么样子。2016开年刊，时尚健康诚意奔赴台北，解答一切有关小S的疑问。所有你们对S的疑问，答案都在这里时尚健康 2016年第1期  封面 小S @柳宗源 @野象花园 @ASOS國際媛娣,NULL,0,0,http://www.weibo.com/1193525177/DaDrc4ga5,2015-12-29 11:25,0,0,http://www.weibo.com/1704116960/DaKNT0W9W?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-30 06:10
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,謝謝時尚健康還有攝影師柳宗源把我拍的這麼美~,三星android智能手机,NULL,NULL,@小S 于2015年末结束《康熙来了》的旅程，又于2016年初开启全新旅途。再见与开始，经验与未知，有意思的是不到明天，我们永远不知道明天长什么样子。2016开年刊，时尚健康诚意奔赴台北，解答一切有关小S的疑问。所有你们对S的疑问，答案都在这里时尚健康 2016年第1期  封面 小S @柳宗源 @野象花园 @ASOS國際媛娣,NULL,0,0,http://www.weibo.com/1193525177/DaDrc4ga5,2015-12-29 11:25,0,0,http://www.weibo.com/1704116960/DaGjTycMk?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-29 18:46
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,她出道了! 來探我班，結果大家都在拍她! 我竟然輸我女兒，什麼跟什麼嘛！還好我身材還贏她!,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DaFVyt2EM?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-29 17:46
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,昨天請朋友扮聖誕老人，小孩一直說他是假的，因為他鬍子一直掉，我問許老三他是不是真的聖誕老人?她說他是Henry叔叔～不過她還是保有赤子之心，因為她問我為什麼真的聖誕老人不能來?我說因為他要跑全世界太忙了，所以請Henry叔叔幫忙!她信了!所以4歲是極限，四歲以上的兒童只在乎禮物，勢利眼喔~,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Da1F6hdRj?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-25 11:15
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,聖誕快樂~,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D9U5YqQcE?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-24 15:59
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,胡歌說我是霓凰郡主，怎麼辦?我往心裡去了～,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D9iEEBCr0?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-20 16:41
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,許老三說媽媽你看我的衣服，有一點像睡衣，但其實也可以當外出服!跟我也太像了吧！,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D8QLUy06e?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-17 17:42
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,就是今晚了！//@范晓萱:期待🏼🏼🏼🏼 //@i周迅:孙悟空这一世为女儿身，她那爱闹认真的性子  一 点 没 变  #西游奇遇记#,三星android智能手机,NULL,NULL,【#西游奇遇记#前传】来袭，西行天团前世今生大揭秘！我迅明明俏皮精灵为什么不是仙女而是孙悟空？鬼马阿雅怎么看也跟沙僧没关系啊？世佳年龄最小为什么却是唐僧？（反正只有岳岳的角色没有任何异议)这些疑问，前传篇统统给你答案！@i周迅 @岳云鹏 @阿雅 @金世佳 @金星 O秒拍视频,NULL,0,0,http://www.weibo.com/5720590795/D7UKQpoiu,2015-12-11 14:00,0,0,http://www.weibo.com/1704116960/D858hxFTj?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-12 16:25
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,今天準備大看瑯琊榜時，還特別警告我女兒，不要到房間吵媽媽，因為媽媽以後要拍電影，現在要好好做功課，看他們的演技!我大女兒說:你又不是要演這部戲!我說:沒錯，但好演員就是要多參考不同的戲和演員的表現!反正，今晚就是不准進媽媽房間!,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D7ujR2FPs?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-08 18:42
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,不發不行，母女都太可愛了!,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D7tRtFobY?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-08 17:32
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,今天有好多小朋友在我們家玩，我煮一個最不容易失敗的雞腿肉咖哩!小朋友一定很愛!重點是我煮的時候配的飲料～,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/D7aMa3Uz2?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2015-12-06 16:56
